Team,Conference,Recruits2012,AvgStars2012,AvgRating2012,Recruits2013,AvgStars2013,AvgRating2013,Recruits2014,AvgStars2014,AvgRating2014,Recruits2015,AvgStars2015,AvgRating2015,Recruits2016,AvgStars2016,AvgRating2016,Recruits2017,AvgStars2017,AvgRating2017,Recruits2018,AvgStars2018,AvgRating2018,Recruits2019,AvgStars2019,AvgRating2019,Recruits2020,AvgStars2020,AvgRating2020,Recruits2021,AvgStars2021,AvgRating2021,Recruits2022,AvgStars2022,AvgRating2022,Recruits2023,AvgStars2023,AvgRating2023,Wins2022
Air Force,Mountain West,38,2.21052631578947,0.772452631578947,40,2.075,0.7663875,23,2.1304347826087,0.771726086956522,22,2.09090909090909,0.771731818181818,40,2.1,0.7733575,60,2.11666666666667,0.764855,26,2.26923076923077,0.776907692307692,51,2.25490196078431,0.783458823529412,34,2.52941176470588,0.799108823529412,47,2.31914893617021,0.793144680851064,11,2.72727272727273,0.817645454545455,17,2.76470588235294,0.812729411764706,10
Akron,MAC,21,2.04761904761905,0.748166666666667,17,2.29411764705882,0.775094117647059,18,2.22222222222222,0.773122222222222,17,2.05882352941176,0.763635294117647,12,2.16666666666667,0.782716666666667,22,2.04545454545455,0.770586363636364,16,2.25,0.79153125,24,2.375,0.788891666666667,27,2.62962962962963,0.80052962962963,16,2.625,0.79660625,7,2.71428571428571,0.824342857142857,13,3,0.815430769230769,2
Alabama,SEC,27,3.81481481481481,0.933225925925926,27,3.88888888888889,0.930333333333333,27,4.07407407407407,0.938344444444444,26,4.07692307692308,0.935107692307692,27,3.77777777777778,0.925592592592593,30,4,0.93842,23,3.69565217391304,0.912030434782609,28,4.07142857142857,0.9443,25,4,0.935468,26,4.15384615384615,0.952326923076923,26,4.03846153846154,0.948611538461538,27,4.2962962962963,0.950807407407407,11
Appalachian State,Sun Belt,5,2.4,0.79522,15,2.2,0.7579,29,2.17241379310345,0.776541379310345,23,2.17391304347826,0.784647826086956,23,2.21739130434783,0.782721739130435,18,2.44444444444444,0.792077777777778,24,2.41666666666667,0.789454166666667,19,2.89473684210526,0.817531578947368,22,2.90909090909091,0.825345454545454,23,2.95652173913043,0.827430434782609,15,2.93333333333333,0.833926666666667,15,3,0.834313333333333,6
Arizona,Pac-12,25,3,0.836204,29,2.89655172413793,0.835920689655172,33,3,0.834145454545455,26,3,0.843273076923077,19,2.94736842105263,0.840936842105263,29,2.93103448275862,0.838668965517241,20,3,0.84827,20,3.05,0.84945,27,2.96296296296296,0.839033333333333,18,3,0.832355555555556,26,3.19230769230769,0.867823076923077,23,3.1304347826087,0.863926086956522,5
Arizona State,Pac-12,26,2.92307692307692,0.836423076923077,26,2.92307692307692,0.840592307692308,28,3.25,0.862828571428571,24,3.33333333333333,0.879720833333333,21,3.28571428571429,0.870804761904762,19,3.10526315789474,0.859094736842105,23,3.08695652173913,0.861260869565217,24,3.08333333333333,0.856891666666667,24,3.33333333333333,0.87305,14,3.28571428571429,0.87065,7,3.14285714285714,0.852314285714286,17,3.05882352941176,0.864311764705882,3
Arkansas,SEC,26,3.15384615384615,0.869407692307692,26,3,0.846496153846154,25,3.12,0.8581,27,3.25925925925926,0.864033333333333,30,3.2,0.856883333333333,27,3.03703703703704,0.854940740740741,22,3.09090909090909,0.860640909090909,27,3.44444444444444,0.882840740740741,21,3.19047619047619,0.867438095238095,21,3.14285714285714,0.871695238095238,21,3.28571428571429,0.872833333333333,21,3.42857142857143,0.886219047619048,7
Arkansas State,Sun Belt,28,2.53571428571429,0.800928571428571,21,2.42857142857143,0.78197619047619,24,2.29166666666667,0.77685,23,2.52173913043478,0.801508695652174,23,2.34782608695652,0.796460869565217,21,2.23809523809524,0.787604761904762,24,2.625,0.811366666666667,26,2.61538461538462,0.802807692307692,22,2.86363636363636,0.817545454545455,14,3,0.828007142857143,17,3,0.843747058823529,22,2.90909090909091,0.83225,3
Auburn,SEC,20,3.55,0.90674,25,3.48,0.888236,26,3.5,0.888565384615385,30,3.66666666666667,0.90065,24,3.58333333333333,0.9071625,26,3.57692307692308,0.896476923076923,24,3.625,0.8986,23,3.78260869565217,0.91115652173913,30,3.53333333333333,0.899816666666667,17,3.29411764705882,0.882029411764706,15,3.6,0.893946666666667,19,3.52631578947368,0.896536842105263,5
Ball State,MAC,24,2.16666666666667,0.772304166666667,21,2.23809523809524,0.78137619047619,18,2.33333333333333,0.784161111111111,25,2.28,0.781944,23,2.26086956521739,0.783526086956522,29,2.41379310344828,0.794796551724138,20,2.4,0.786005,18,2.55555555555556,0.800266666666667,24,2.625,0.798466666666667,21,2.71428571428571,0.809142857142857,17,2.70588235294118,0.809458823529412,14,2.85714285714286,0.819242857142857,5
