"Team","Conference","Transfers2021","Transfers2022","Transfers2023","AvgStars2021","AvgStars2022","AvgStars2023","Wins2022"
"Air Force","Mountain West",2,0,0,1.5,0,0,10
"Akron","MAC",3,15,2,3,3.06666666666667,3,2
"Alabama","SEC",4,5,2,3,4.4,4,11
"Appalachian State","Sun Belt",7,9,9,1.71428571428571,2,1.33333333333333,6
"Arizona","Pac-12",16,8,5,2.75,3.125,3.2,5
"Arizona State","Pac-12",7,13,27,2.85714285714286,3.07692307692308,2.85185185185185,3
"Arkansas","SEC",5,9,11,3,3.55555555555556,3.27272727272727,7
"Arkansas State","Sun Belt",17,11,6,2.88235294117647,2.81818181818182,2.5,3
"Auburn","SEC",10,11,13,3.1,2.72727272727273,3.69230769230769,5
"Ball State","MAC",2,5,9,3,2.2,1.55555555555556,5
"Baylor","Big 12",6,3,10,2.66666666666667,3,3.2,6
"Boise State","Mountain West",6,3,5,2.16666666666667,3,2.4,10
"Boston College","ACC",6,4,8,3,2.25,3,3
"Bowling Green","MAC",5,6,2,1.8,2,2,6
"Buffalo","MAC",6,21,9,2,2.47619047619048,2.88888888888889,7
"BYU","FBS Independent",5,4,11,3.2,3.25,2.90909090909091,8
"California","Pac-12",3,6,10,3,2.83333333333333,3.2,4
"Central Michigan","MAC",3,2,2,2.66666666666667,2.5,1.5,4
"Charlotte","C-USA",11,3,14,2.72727272727273,3,2.5,3
"Cincinnati","AAC",3,7,15,2.66666666666667,2.85714285714286,2.26666666666667,9
"Clemson","ACC",0,1,1,0,3,4,11
"Coastal Carolina","Sun Belt",4,4,7,3,2.75,2,9
"Colorado","Pac-12",6,6,26,3.16666666666667,2.5,3,1
"Colorado State","Mountain West",4,11,9,2.75,2.72727272727273,1.22222222222222,3
"Duke","Duke",8,8,7,1.5,2.375,2.57142857142857,9
"East Carolina","AAC",11,14,8,3.09090909090909,2.5,2.625,8
"Eastern Michigan","MAC",3,5,5,2,2.6,2.4,9
"FIU","C-USA",0,11,8,0,2.90909090909091,1.625,4
"Florida","SEC",7,9,10,2.71428571428571,3.44444444444444,3.5,6
"Florida Atlantic","C-USA",7,12,6,3.14285714285714,3.08333333333333,2.66666666666667,5
"Florida State","ACC",12,13,10,2.83333333333333,2.92307692307692,3.8,10
"Fresno State","Mountain West",8,12,5,2.375,2.83333333333333,3.2,10
"Georgia","SEC",3,1,3,4,2,4,15
"Georgia Southern","Sun Belt",4,11,13,3,1.81818181818182,2.46153846153846,6
"Georgia State","Sun Belt",3,4,9,2,2,1.66666666666667,4
"Georgia Tech","ACC",10,18,12,2.7,2.94444444444444,3,5
"Hawaii","Mountain West",6,13,7,2.33333333333333,2.92307692307692,2.85714285714286,3
"Houston","AAC",10,11,14,3,3,2.85714285714286,8
"Illinois","Big Ten",9,8,5,2.11111111111111,1.875,3.2,8
"Indiana","Big Ten",8,13,18,3,2.92307692307692,2.88888888888889,4
"Iowa","Big Ten",1,1,7,3,3,2.85714285714286,8
"Iowa State","Big 12",2,4,2,3,3,3.5,4
"James Madison","Sun Belt",2,5,3,3,3,3,8
"Kansas","Big 12",13,15,10,2.23076923076923,2.6,2.7,6
"Kansas State","Big 12",8,7,4,2,2.71428571428571,3.5,10
"Kent State","MAC",7,4,6,2.57142857142857,3,3,5
"Kentucky","SEC",7,9,7,3.14285714285714,2.88888888888889,3.71428571428571,7
"Liberty","FBS Independent",6,13,5,2.66666666666667,2.46153846153846,3,8
